UserId	Rating	Title
9	5	Star Wars: Episode VI - Return of the Jedi
9	4.5	The Lord of the Rings: The Fellowship of the Ring
9	5	Star Wars: Episode IV - A New Hope
9	3.5	Kick-Ass
9	5	Harry Potter and the Deathly Hallows: Part 2
10	2.5	The Book of Eli
10	3.5	Looper
10	2.5	The Amazing Spider-Man
10	4	Interstellar
10	4.5	True Grit
10	4.5	Drive
10	4	Toy Story 3
10	4	The Dark Knight
10	2	RED
10	3	X-Men: First Class
10	2	Easy A
10	2.5	Captain America: The First Avenger
10	3.5	Harry Potter and the Deathly Hallows: Part 2
10	5	Moonrise Kingdom
10	4.5	Fight Club
10	3	The Hobbit: An Unexpected Journey
10	4	Gone Girl
10	2.5	Sherlock Holmes: A Game of Shadows
10	5	The Lord of the Rings: The Fellowship of the Ring
10	4.5	Silver Linings Playbook
10	3.5	Terminator 2: Judgment Day
10	5	Midnight in Paris
10	4.5	The Social Network
10	4.5	The Wolf of Wall Street
10	5	The Grand Budapest Hotel
10	3	The Perks of Being a Wallflower
10	4.5	Toy Story
10	3.5	Limitless
10	2.5	Iron Man 2
10	3	The Hobbit: The Desolation of Smaug
10	5	The Fighter
10	3	The Cabin in the Woods
10	4	The King's Speech
10	4	Django Unchained
10	4.5	Whiplash
11	3	Life of Pi
11	3.5	Skyfall
11	4	Despicable Me
11	4.5	The Intouchables
11	4.5	X-Men: Days of Future Past
11	3.5	The Lord of the Rings: The Fellowship of the Ring
11	4	Harry Potter and the Deathly Hallows: Part 1
11	4	Star Wars: Episode V - The Empire Strikes Back
11	2	Iron Man 2
11	3.5	Inception
11	5	Guardians of the Galaxy
11	4	Thor
11	3	Forrest Gump
11	2.5	Drive
11	4	Big Hero 6
11	2.5	Captain America: The First Avenger
11	3	Toy Story
11	3.5	Sherlock Holmes: A Game of Shadows
11	5	How to Train Your Dragon
11	3.5	Captain America: The Winter Soldier
11	3	The Hunger Games
11	3.5	The Amazing Spider-Man
11	2.5	Alice in Wonderland
11	2	Megamind
11	1.5	TRON: Legacy
11	2	The Cabin in the Woods
11	3	The Hunger Games: Catching Fire
11	3.5	Star Wars: Episode IV - A New Hope
11	3.5	Toy Story 3
11	3	Hugo
11	4	Star Wars: Episode VI - Return of the Jedi
11	3.5	Raiders of the Lost Ark
11	4	The Perks of Being a Wallflower
11	2.5	Edge of Tomorrow
11	4	X-Men: First Class
11	3.5	The Avengers
12	3	The Dark Knight Rises
12	3	Raiders of the Lost Ark
12	4.5	Moonrise Kingdom
12	2.5	Forrest Gump
12	1.5	Thor
12	2.5	The Hunger Games
12	3.5	Silver Linings Playbook
12	1	The King's Speech
12	1.5	Mission Impossible: The Ghost Protocol
12	1.5	Alice in Wonderland
12	4.5	The Dark Knight
12	3.5	Jurassic Park
12	5	Easy A
12	4.5	The Shawshank Redemption
12	0.5	Captain America: The First Avenger
12	2.5	127 Hours
12	3	Terminator 2: Judgment Day
12	3.5	Argo
12	2.5	Harry Potter and the Deathly Hallows: Part 1
12	4.5	Gone Girl
12	2.5	The Help
12	3.5	Star Wars: Episode IV - A New Hope
12	4	The Hobbit: An Unexpected Journey
12	3.5	The Hunger Games: Catching Fire
12	3.5	Interstellar
12	4.5	Fight Club
12	3	The Matrix
12	4.5	Megamind
12	4.5	Limitless
12	3	Harry Potter and the Deathly Hallows: Part 2
12	5	How to Train Your Dragon
12	5	Life of Pi
12	4	Toy Story
12	4.5	The Grand Budapest Hotel
12	3.5	Pulp Fiction
12	4	Inception
12	0.5	Tangled
12	3.5	Django Unchained
12	1.5	Scott Pilgrim vs. the World
12	5	Shutter Island
12	3	The Social Network
12	3	The Lord of the Rings: The Fellowship of the Ring
13	2	Moonrise Kingdom
13	4	The Wolf of Wall Street
13	3	Star Wars: Episode VI - Return of the Jedi
13	4	Inception
13	3	Easy A
13	2	TRON: Legacy
13	2	The Hobbit: An Unexpected Journey
13	4	The Silence of the Lambs
13	5	The Imitation Game
13	3	The Hunger Games: Catching Fire
13	2.5	The Grand Budapest Hotel
13	4	The Hunger Games
13	5	Interstellar
13	5	The Help
13	4	Toy Story 3
13	2	Alice in Wonderland
13	3	Despicable Me
13	5	Mad Max: Fury Road
13	3	The Dark Knight Rises
14	4	Guardians of the Galaxy
14	3.5	Star Wars: Episode V - The Empire Strikes Back
14	4	How to Train Your Dragon
14	3.5	Whiplash
14	3	The Hobbit: The Desolation of Smaug
14	4.5	The Help
14	2.5	The Hunger Games
14	2.5	Gravity
14	3	Captain America: The Winter Soldier
14	4	True Grit
14	3	Alice in Wonderland
14	3.5	Star Trek Into Darkness
14	4.5	Raiders of the Lost Ark
14	3	Skyfall
14	3.5	The Avengers
14	3	Life of Pi
14	3.5	Iron Man 3
14	4	Captain America: The First Avenger
14	4.5	Tangled
14	4	Toy Story 3
14	4.5	Megamind
14	5	Toy Story
14	3.5	The Dark Knight
14	4.5	The Lord of the Rings: The Fellowship of the Ring
14	3.5	Interstellar
14	3	TRON: Legacy
15	4	Inception
15	0.5	The Cabin in the Woods
15	3	Toy Story 3
15	2	Jurassic Park
15	0.5	The Perks of Being a Wallflower
15	3.5	How to Train Your Dragon
15	1	Iron Man 2
15	3	Toy Story
15	2	Alice in Wonderland
15	5	Scott Pilgrim vs. the World
15	3.5	The Imitation Game
15	3	Harry Potter and the Deathly Hallows: Part 2
15	3.5	Limitless
15	2	Raiders of the Lost Ark
15	0.5	Mission Impossible: The Ghost Protocol
15	0.5	RED
15	0.5	Iron Man 3
15	0.5	The Hunger Games: Catching Fire
